,rownum,geo_prob
0,0,0.01843774624339961
1,1,0.022823232770606064
2,2,0.08235237496181777
3,3,0.022844571284415104
4,4,0.1030902668853844
5,5,0.02222819268105621
6,6,0.041286502236718266
7,7,0.006086833164921871
8,8,0.011253596585575745
9,9,0.002693346505195256
10,10,0.5181652039651664
11,11,0.3779906922611027
12,12,0.061680257574196796
13,13,0.04478250096411019
14,14,0.3990070893832581
15,15,0.16504112359874515
16,16,0.022577761117034828
17,17,0.016553613762191194
18,18,0.10032476894593649
19,19,0.0006715983114001633
20,20,0.00037462263076584344
21,21,0.0003279382671294898
22,22,0.0030470997153983336
23,23,0.010957162408769292
24,24,0.05267017371517532
25,25,0.0007159677360746867
26,26,0.01656712031615174
27,27,0.00019919048918219033
28,28,8.743040627130233e-06
29,29,0.0024663672652935043
30,30,0.00014437374119266992
31,31,0.00157717384848779
32,32,0.9117879260657541
33,33,0.00019777469127520145
34,34,2.1065936638213853e-05
35,35,0.0002490678895801372
36,36,0.03182538535120162
37,37,0.0001958858766183621
38,38,0.0002009777456762021
39,39,0.00036889632493940585
40,40,0.0025357534318216583
41,41,0.39142090627010145
42,42,0.22810388239391752
43,43,0.03505775272330003
44,44,9.376001058327172e-05
45,45,0.015520538036205773
46,46,0.0018026477215187025
47,47,0.000769320745984623
48,48,0.0007590593186617264
49,49,5.706628856817646e-06
50,50,0.0003345623341106195
51,51,0.005139719407847616
52,52,3.4534676908638176e-05
53,53,1.3096756094274807e-05
54,54,3.4534676908638176e-05
55,55,1.2872346179828274e-05
56,56,4.791580072594684e-05
57,57,9.5379458948661e-05
58,58,7.668782146693933e-05
59,59,2.028955584081423e-05
60,60,5.346479725082794e-05
61,61,2.6140846497942614e-05
62,62,7.929845983259987e-05
63,63,0.00016373281220658854
64,64,0.00021991282656400656
65,65,0.0032821559924877696
66,66,2.592522671968265e-05
67,67,5.175273516399319e-05
68,68,1.861166710233144e-05
69,69,2.028955584081423e-05
70,70,0.00027770345778164096
71,71,0.00041275309386418446
72,72,3.4534676908638176e-05
73,73,5.706628856817646e-06
74,74,6.984115724218315e-05
75,75,1.936136379668754e-05
76,76,0.00025130256352679046
77,77,0.00015687508577299087
78,78,0.000328257081152628
79,79,5.298927555139282e-05
80,80,4.9261389861122594e-05
81,81,0.00015687508577299087
82,82,1.4827127713291084e-05
83,83,2.6140846497942614e-05
84,84,0.00021259789201883315
85,85,4.9261389861122594e-05
86,86,5.03320368483965e-05
87,87,0.00021070732157304673
88,88,4.9261389861122594e-05
89,89,0.002685687077809589
90,90,0.0006899063346169848
91,91,0.0001307380434776345
92,92,1.238704909587426e-05
93,93,2.028955584081423e-05
94,94,5.175273516399319e-05
95,95,6.592360978111693e-05
96,96,0.0002921366010065008
97,97,0.0002009777456762021
98,98,3.4534676908638176e-05
99,99,8.782467668682671e-05
100,100,0.00012982493934561145
101,101,2.028955584081423e-05
102,102,5.706628856817646e-06
103,103,5.664084693002963e-05
104,104,1.4827127713291084e-05
105,105,0.008202098200394107
106,106,1.238704909587426e-05
107,107,1.2089436542880257e-05
108,108,2.0577443489953884e-05
109,109,4.9261389861122594e-05
110,110,0.00016243485908159412
111,111,0.00010045794902265792
112,112,0.00013271184711544947
113,113,5.298927555139282e-05
114,114,9.5379458948661e-05
115,115,3.4534676908638176e-05
116,116,1.936136379668754e-05
117,117,2.028955584081423e-05
118,118,1.3096756094274807e-05
119,119,2.028955584081423e-05
120,120,0.00972930764542901
121,121,2.028955584081423e-05
122,122,0.008594758096563657
123,123,0.00010519587364286501
124,124,9.692575838850885e-05
125,125,4.161535890964382e-05
126,126,1.557593743116506e-05
127,127,4.028341908220144e-06
128,128,0.00013271184711544947
129,129,0.02314942219886643
130,130,9.692575838850885e-05
131,131,2.935251145483448e-05
132,132,9.245095033396046e-06
133,133,0.0034017918162886087
134,134,0.0027117721234299814
135,135,0.0002490678895801372
136,136,1.238704909587426e-05
137,137,3.4534676908638176e-05
138,138,0.0032726631063655616
139,139,0.01618378728872541
140,140,0.011740830774655132
141,141,4.7192054285609114e-05
142,142,0.0020415949448107148
143,143,3.157382821420747e-05
144,144,4.161535890964382e-05
145,145,4.028341908220144e-06
146,146,3.157382821420747e-05
147,147,2.9174541939469926e-05
148,148,0.00045587957260365407
149,149,4.028341908220144e-06
150,150,0.00011599508385489166
151,151,3.157382821420747e-05
152,152,0.000145809699562699
153,153,2.0577443489953884e-05
154,154,8.834654897056692e-06
155,155,1.2089436542880257e-05
156,156,4.161535890964382e-05
157,157,3.134937170964357e-05
158,158,0.004424887969769629
159,159,0.00010075283474041599
160,160,0.00013741537441720427
161,161,1.2089436542880257e-05
162,162,8.834654897056692e-06
163,163,9.191535599085691e-06
164,164,9.191535599085691e-06
165,165,9.245095033396046e-06
166,166,9.692575838850885e-05
167,167,0.00014923727342876887
168,168,3.157382821420747e-05
169,169,5.233134946458661e-05
170,170,0.001270158969348526
171,171,4.161535890964382e-05
172,172,3.134937170964357e-05
173,173,2.0577443489953884e-05
174,174,0.000905135756132842
175,175,4.569511977865163e-05
176,176,0.004970319128563351
177,177,0.004074942995740984
178,178,0.0005069689155904205
179,179,8.834654897056692e-06
180,180,2.935251145483448e-05
181,181,0.002179767639232707
182,182,3.980852294128924e-05
183,183,0.00011677577234368578
184,184,0.0013945161168380385
